covariate,pe_m1,lower_m1,upper_m1,pe_m2,lower_m2,upper_m2
winpct,0.3416398291322243,0.192379769262962,0.4835130618909475,0.19778202456465283,0.11137243671721674,0.2799152327383769
era,-0.5986995827517427,-0.7492989555862237,-0.31403748420488786,-0.3465989778868077,-0.43378392038320107,-0.18180248354823464
strikeout,0.2225610819671537,-0.07927727809999098,0.4028848874669204,0.12884499296399912,-0.045895177399010965,0.23323799485589283
innings,0.2771103174838984,-0.43688366356254776,0.4654560892894525,0.1604246195735776,-0.25292055583244394,0.26946169572630346
walks,0.0808048476415107,-0.2993105357321949,0.3195456363121951,0.04677951748708699,-0.17327676307826792,0.18499126126821078
