zip,total_pop,black,pct_black
ZCTA5 03448,804,6,0.007462687
ZCTA5 03449,1751,5,0.002855511
ZCTA5 03450,927,20,0.021574973
ZCTA5 03451,3911,23,0.005880849
ZCTA5 03452,5283,0,0
ZCTA5 03455,2417,1,0.000413736
ZCTA5 03456,829,0,0
ZCTA5 03457,826,0,0
ZCTA5 03458,7022,0,0
ZCTA5 03461,6054,79,0.013049224
ZCTA5 03462,1326,36,0.027149321
ZCTA5 03464,1042,3,0.002879079
ZCTA5 03465,2002,0,0
ZCTA5 03466,1856,0,0
ZCTA5 03467,1590,0,0
ZCTA5 03470,5155,24,0.004655674
ZCTA5 03561,5920,0,0
ZCTA5 03570,10221,684,0.066921045
ZCTA5 03574,2569,21,0.008174387
ZCTA5 03575,68,28,0.411764706
ZCTA5 03576,2804,3,0.0010699
ZCTA5 03579,307,0,0
ZCTA5 03580,1408,0,0
ZCTA5 03581,3054,13,0.004256713
ZCTA5 03582,2530,14,0.005533597
ZCTA5 03583,850,0,0
ZCTA5 03584,3673,23,0.006261911
ZCTA5 03585,2832,9,0.003177966
ZCTA5 03586,636,0,0
ZCTA5 03588,1638,0,0
ZCTA5 03590,901,1,0.001109878
ZCTA5 03592,1064,0,0
ZCTA5 03593,376,0,0
ZCTA5 03595,704,0,0
ZCTA5 03597,452,0,0
ZCTA5 03598,3166,58,0.018319646
ZCTA5 03601,423,0,0
ZCTA5 03602,2465,6,0.002434077
ZCTA5 03603,5318,0,0
ZCTA5 03604,123,0,0
ZCTA5 03605,928,0,0
ZCTA5 03607,392,0,0
ZCTA5 03608,2981,72,0.024152969
ZCTA5 03609,832,0,0
ZCTA5 03740,712,0,0
ZCTA5 03741,4043,32,0.007914915
ZCTA5 03743,13681,272,0.019881588
ZCTA5 03745,1550,15,0.009677419
ZCTA5 03746,233,0,0
ZCTA5 03748,4866,3,0.000616523
ZCTA5 03750,1037,0,0
ZCTA5 03751,468,0,0
ZCTA5 03752,702,0,0
ZCTA5 03753,2869,0,0
ZCTA5 03754,51,0,0
ZCTA5 03755,10595,396,0.037376121
ZCTA5 03765,609,0,0
ZCTA5 03766,9388,146,0.015551768
ZCTA5 03768,1852,16,0.008639309
ZCTA5 03770,531,16,0.030131827
ZCTA5 03771,942,0,0
ZCTA5 03773,7858,25,0.003181471
ZCTA5 03774,1954,8,0.004094166
ZCTA5 03777,1444,97,0.067174515
ZCTA5 03779,868,0,0
ZCTA5 03780,435,8,0.018390805
ZCTA5 03781,2024,0,0
