age,gender,ethnicity,hispanic,region,education
25,2,1,1,1,2
33,2,1,1,3,2
34,2,4,1,3,7
33,2,1,1,2,2
31,2,15,2,4,2
60,2,1,1,2,2
24,2,2,1,2,6
44,2,1,1,4,6
30,1,1,1,3,7
57,2,2,1,3,4
24,2,2,1,2,2
78,2,1,1,3,6
56,2,2,1,3,6
34,2,3,1,3,6
50,2,2,1,2,6
46,2,1,1,3,6
53,2,1,1,3,2
28,2,1,1,2,6
32,2,1,1,2,6
45,2,1,1,1,1
38,2,1,1,2,2
42,2,1,1,2,2
68,2,2,1,3,2
38,2,1,1,3,6
30,2,15,2,3,2
30,2,2,1,3,6
24,2,15,2,3,6
45,1,2,1,3,6
29,2,15,2,3,2
76,2,1,1,2,7
42,2,1,1,3,6
30,1,3,1,3,6
29,2,15,2,4,6
30,2,5,1,3,6
27,2,4,1,4,6
36,2,1,1,4,6
50,2,1,1,3,4
74,1,2,1,2,2
24,1,2,1,2,6
23,1,1,1,3,6
25,2,1,1,3,2
30,2,1,1,2,2
39,2,2,1,3,2
45,2,1,1,3,1
46,2,1,1,4,2
34,2,15,2,3,6
63,2,1,1,2,8
33,1,1,1,2,2
43,1,1,1,3,6
28,2,15,2,3,6
36,1,1,1,3,6
34,2,1,1,3,2
31,2,1,1,1,4
34,1,1,1,3,7
66,2,2,1,3,2
55,1,2,1,1,6
25,2,2,1,3,2
66,2,15,2,3,2
20,2,2,1,3,6
32,2,1,1,4,4
39,1,2,1,4,6
56,2,1,1,3,2
36,2,1,1,3,2
55,2,1,1,2,2
40,1,1,1,2,4
47,2,1,1,3,2
26,2,4,1,4,4
20,2,2,1,3,2
38,2,1,1,1,2
31,1,15,2,3,4
73,1,1,1,4,6
65,2,1,1,3,4
25,1,2,1,2,6
69,2,1,1,3,6
61,1,1,1,2,4
34,2,1,1,3,2
56,2,1,1,3,2
19,2,15,2,3,4
50,2,2,1,3,4
52,2,1,1,3,2
50,1,1,1,1,2
71,2,1,1,3,6
34,2,1,1,4,6
35,1,15,2,3,4
33,1,1,1,4,6
54,2,1,1,3,2
70,2,1,1,3,5
64,2,1,1,1,2
32,2,1,1,3,6
60,1,1,1,3,7
41,1,1,1,3,2
24,1,15,1,3,6
20,2,1,1,1,4
29,1,2,1,3,6
59,2,1,1,1,2
49,1,1,1,2,2
18,2,1,1,4,2
47,1,2,1,4,6
32,1,2,1,3,6
41,1,2,1,3,6
67,1,1,1,1,7
30,2,15,1,3,6
30,1,1,1,3,6
44,1,1,1,3,6
37,1,1,1,1,2
39,1,1,1,3,6
63,1,1,1,4,6
36,2,15,2,3,2
25,2,2,1,4,4
52,2,1,1,2,2
36,1,1,1,3,4
56,2,1,1,3,4
28,2,1,1,4,2
39,2,1,2,3,6
31,2,4,1,4,2
65,2,2,1,3,6
28,2,1,2,3,6
54,2,1,1,2,6
58,2,1,2,3,6
56,2,1,1,3,4
43,2,15,2,4,4
24,1,15,7,3,3
28,1,1,1,3,6
59,1,1,1,2,6
20,1,2,1,3,4
61,2,1,1,3,6
49,2,1,1,3,8
39,1,16,15,3,6
